// age
New, ADJECTIVE, HAS_GROUP(Age)
Fresh, ADJECTIVE, HAS_GROUP(Age)
Old, ADJECTIVE, HAS_GROUP(Age)
Ancient, ADJECTIVE, HAS_GROUP(Age)
// size
Great, ADJECTIVE, HAS_GROUP(Size)
Greater, ADJECTIVE, HAS_GROUP(Size)
Major, ADJECTIVE, HAS_GROUP(Size)
Little, ADJECTIVE, HAS_GROUP(Size)
Lesser, ADJECTIVE, HAS_GROUP(Size)
Minor, ADJECTIVE, HAS_GROUP(Size)
// colours
Red, ADJECTIVE, HAS_GROUP(Colour), HAS_GROUP(Hair Colour)
Green, ADJECTIVE, HAS_GROUP(Colour), HAS_GROUP(Good)
Blue, ADJECTIVE, HAS_GROUP(Colour)
Black, ADJECTIVE, HAS_GROUP(Colour), HAS_GROUP(Hair Colour), HAS_GROUP(Evil)
White, ADJECTIVE, HAS_GROUP(Colour), HAS_GROUP(Hair Colour), HAS_GROUP(Good)
Grey, ADJECTIVE, HAS_GROUP(Colour), HAS_GROUP(Hair Colour)
Brown, ADJECTIVE, HAS_GROUP(Colour), HAS_GROUP(Hair Colour)
Yellow, ADJECTIVE, HAS_GROUP(Colour)
Purple, ADJECTIVE, HAS_GROUP(Colour)
Orange, ADJECTIVE, HAS_GROUP(Colour)
// Hair Only Colours
Blonde, ADJECTIVE, HAS_GROUP(Hair Colour)
// Hair Types
Thin, ADJECTIVE, HAS_GrOUP(Hair Type)
Wavey, ADJECTIVE, HAS_GROUP(Hair Type)
// Hair States
Flowing, ADJECTIVE, HAS_GROUP(Hair State)
Messy, ADJECTIVE, HAS_GROUP(Hair State)
Tangled, ADJECTIVE, HAS_GROUP(Hair State)
Neat, ADJECTIVE, HAS_GROUP(Hair State)
// Hair Lengths
Long, ADJECTIVE, HAS_GROUP(Hair Length)
Extremely Long, ADJECTIVE, HAS_GROUP(Hair Length)
Shoulder Length, ADJECTIVE, HAS_GROUP(Hair Length)
Short, ADJECTIVE, HAS_GROUP(Hair Length)
// Creature Height
Tall, ADJECTIVE, HAS_GROUP(Creature Height)
Short, ADJECTIVE, HAS_GROUP(Creature Height)
Looming, ADJECTIVE, HAS_GROUP(Creature Height)
Average Height, ADJECTIVE, HAS_GROUP(Creature Height)
// Creature Build
Thin, ADJECTIVE, HAS_GROUP(Creature Build)
Willowy, ADJECTIVE, HAS_GROUP(Creature Build)
Stout, ADJECTIVE, HAS_GROUP(Creature Build)
Broad, ADJECTIVE, HAS_GROUP(Creature Build)
Heavy, ADJECTIVE, HAS_GROUP(Creature Build)
Delicate, ADJECTIVE, HAS_GROUP(Creature Build)
Athletic, ADJECTIVE, HAS_GROUP(Creature Build)
Slim, ADJECTIVE, HAS_GROUP(Creature Build)
Portly, ADJECTIVE, HAS_GROUP(Creature Build)
// Taste
Sweet, ADJECTIVE, HAS_GROUP(Taste), HAS_GROUP(Good)
Sour, ADJECTIVE, HAS_GROUP(Taste), HAS_GROUP(Bad)
Saltry, ADJECTIVE, HAS_GROUP(Taste)
Bitter, ADJECTIVE, HAS_GROUP(Taste), HAS_GROUP(Bad)
Savory, ADJECTIVE, HAS_GROUP(Taste)
Spicy, ADJECTIVE, HAS_GROUP(Taste)
// Quality
Bright, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Positive)
Light, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Positive)
Shining, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Positive)
Quality, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Positive)
Budget, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Negative)
Dark, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Negative)
Dim, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Negative)
Creaking, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Negative)
Great, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Positive)
Quiet, ADJECTIVE, HAS_GROUP(Quality)
Hidden, ADJECTIVE, HAS_GROUP(Quality)
Wise, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Positive)
Monster, ADJECTIVE, HAS_GROUP(Quality)
Smokey, ADJECTIVE, HAS_GROUP(Quality)
Traditional, ADJECTIVE, HAS_GROUP(Quality)
Grand, ADJECTIVE, HAS_GROUP(Quality), HAS_GROUP(Positive)
