// Groups
Metal, GROUP, HAS_GROUP(Solid), HAS_GROUP(Product), HAS_GROUP(Wire), HAS_GROUP(Material)
Cloth, GROUP, HAS_GROUP(Solid), HAS_GROUP(Product), HAS_GROUP(Wire), HAS_GROUP(Material)
Stone, GROUP, HAS_GROUP(Solid), HAS_GROUP(Product), HAS_GROUP(Material), HAS_GROUP(Building Material)
Wood, GROUP, HAS_GROUP(Solid), HAS_GROUP(Product), HAS_GROUP(Material), HAS_GROUP(Building Material), HAS_TAG(Fuel)
// normal
Ash, NOUN, HAS_GROUP(Material), HAS_GROUP(Solid), HAS_ADJECTIVE(Ashen)
Chalk, NOUN, HAS_GROUP(Stone)
Charcoal, NOUN, HAS_GROUP(Material), HAS_GROUP(Solid), HAS_GROUP(Fuel)
Clay, NOUN, HAS_GROUP(Material), HAS_GROUP(Solid), HAS_GROUP(Ceramic)
Crystal, NOUN, HAS_GROUP(Material), HAS_GROUP(Solid)
Glass, NOUN, HAS_GROUP(Material), HAS_GROUP(Solid), HAS_GROUP(Product)
// metals
Aluminium, NOUN, HAS_GROUP(Metal)
Brass, NOUN, HAS_GROUP(Metal), HAS_GROUP(Alloy)
Bronze, NOUN, HAS_GROUP(Metal), HAS_GROUP(Alloy)
Cobalt, NOUN, HAS_GROUP(Metal)
Copper, NOUN, HAS_GROUP(Metal)
Iron, NOUN, HAS_GROUP(Metal)
Lead, NOUN, HAS_GROUP(Metal)
Nickel, NOUN, HAS_GROUP(Metal)
Pewter, NOUN, HAS_GROUP(Metal), HAS_GROUP(Allow)
Platinum, NOUN, HAS_GROUP(Metal)
Silver, NOUN, HAS_GROUP(Metal)
Steel, NOUN, HAS_GROUP(Metal), HAS_GROUP(Alloy)
Tin, NOUN, HAS_GROUP(Metal)
Zinc, NOUN, HAS_GROUP(Metal)
// cloths
Wool, NOUN, HAS_GROUP(Cloth)
Silk, NOUN, HAS_GROUP(Cloth)
Cotton, NOUN, HAS_GROUP(Cloth)
Leather, NOUN, HAS_GROUP(Cloth)
Linen, NOUN, HAS_GROUP(Cloth)
