// Groups
Vegetable, GROUP, HAS_GROUP(Food), HAS_GROUP(Plant), HAS_GROUP(Crop)
Fruit, GROUP, HAS_GROUP(Food), HAS_GROUP(Plant), HAS_GROUP(Crop)
Tree, GROUP, HAS_GROUP(Plant)
Flower, GROUP, HAS_GROUP(Plant)
Grain, GROUP, HAS_GROUP(Food), HAS_GROUP(Plant)
// trees
Alder, NOUN, HAS_GROUP(Tree)
Apple, NOUN, HAS_GROUP(Tree), HAS_GROUP(Fruit)
Ash, NOUN, HAS_GROUP(Tree)
Aspen, NOUN, HAS_GROUP(Tree)
Beech, NOUN, HAS_GROUP(Tree)
Birch, NOUN, HAS_GROUP(Tree)
Blackthorn, NOUN, HAS_GROUP(Tree)
Buckthorn, NOUN, HAS_GROUP(Tree)
Cedar, NOUN, HAS_GROUP(Tree)
Cypress, NOUN, HAS_GROUP(Tree)
Elder, NOUN, HAS_GROUP(Tree)
Elm, NOUN, HAS_GROUP(Tree)
Fir, NOUN, HAS_GROUP(Tree)
Hawthorn, NOUN, HAS_GROUP(Tree)
Hazel, NOUN, HAS_GROUP(Tree)
Hornbeam, NOUN, HAS_GROUP(Tree)
Maple, NOUN, HAS_GROUP(Tree)
Oak, NOUN, HAS_GROUP(Tree)
Pine, NOUN, HAS_GROUP(Tree)
Rowan, NOUN, HAS_GROUP(Tree)
Willow, NOUN, HAS_GROUP(Tree)
Yew, NOUN, HAS_GROUP(Tree)
Pear, NOUN, HAS_GROUP(Tree), HAS_GROUP(Fruit)
// flowers
Bell Flower, NOUN, HAS_GROUP(Flower)
Carnation, NOUN, HAS_GROUP(Flower)
Columbine, NOUN, HAS_GROUP(Flower)
Daffodil, NOUN, HAS_GROUP(Flower)
Foxglove, NOUN, HAS_GROUP(Flower)
Hyacinth, NOUN, HAS_GROUP(Flower)
Iris, NOUN, HAS_GROUP(Flower)
Larkspur, NOUN, HAS_GROUP(Flower)
Lilac, NOUN, HAS_GROUP(Flower)
Lilly, NOUN, HAS_GROUP(Flower)
Marigold, NOUN, HAS_GROUP(Flower)
Mimosa, NOUN, HAS_GROUP(Flower)
Primrose, NOUN, HAS_GROUP(Flower)
Windflower, NOUN, HAS_GROUP(Flower)
// crops
Strawberry, NOUN, HAS_GROUP(Fruit)
Artichoke, NOUN, HAS_GROUP(Vegetable)
Asparagus, NOUN, HAS_GROUP(Vegetable)
Broad Bean, NOUN, HAS_GROUP(Vegetable)
Beetroot, NOUN, HAS_GROUP(Vegetable)
Cabbage, NOUN, HAS_GROUP(Vegetable)
Caper, NOUN, HAS_GROUP(Vegetable)
Carrot, NOUN, HAS_GROUP(Vegetable)
Celergy, NOUN, HAS_GROUP(Vegetable)
Cowpea, NOUN, HAS_GROUP(Vegetable)
Cucumber, NOUN, HAS_GROUP(Vegetable)
Garlic, NOUN, HAS_GROUP(Vegetable)
Leek, NOUN, HAS_GROUP(Vegetable)
Lentil, NOUN, HAS_GROUP(Vegetable)
Lettuce, NOUN, HAS_GROUP(Vegetable)
Onion, NOUN, HAS_GROUP(Vegetable)
Parsnip, NOUN, HAS_GROUP(Vegetable)
Pea, NOUN, HAS_GROUP(Vegetable)
Peannut, NOUN, HAS_GROUP(Vegetable)
Pepper, NOUN, HAS_GROUP(Fruit)
Potatoe, NOUN, HAS_GROUP(Vegetable)
Radish, NOUN, HAS_GROUP(Vegetable)
Rhubarb, NOUN, HAS_GROUP(Crop)
Soybean, NOUN, HAS_GROUP(Crop)
Spinach, NOUN, HAS_GROUP(Vegetable)
Squash, NOUN, HAS_GROUP(Vegetable)
Sweet Potatoe, NOUN, HAS_GROUP(Vegetable)
Turnip, NOUN, HAS_GROUP(Vegetable)
Grape, NOUN, HAS_GROUP(Fruit)
Blueberry, NOUN, HAS_GROUP(Fruit)
Blackberry, NOUN, HAS_GROUP(Fruit)
Rice, NOUN, HAS_GROUP(Grain)
Oat, NOUN, HAS_GROUP(Grain)
Corn, NOUN, HAS_GROUP(Grain)
Wheat, NOUN, HAS_GROUP(Grain)
