// food suffixes
Bar,InstitutionFoodServiceSuffix
Cafe,InstitutionFoodServiceSuffix
Bakery,InstitutionFoodServiceSuffix
Inn,InstitutionFoodServiceSuffix
Arms,InstitutionFoodServiceSuffix
Tap Room,InstitutionFoodServiceSuffix
Kitchen,InstitutionFoodServiceSuffix
Grill,InstitutionFoodServiceSuffix
Kebab,InstitutionFoodServiceSuffix
Kebabs,InstitutionFoodServiceSuffix
Pizza,InstitutionFoodServiceSuffix
Pizzas,InstitutionFoodServiceSuffix
Coffee,InstitutionFoodServiceSuffix
Brasserie,InstitutionFoodServiceSuffix
Diner,InstitutionFoodServiceSuffix
Sushi-Bar,InstitutionFoodServiceSuffix
Sushi,InstitutionFoodServiceSuffix
Chippie,InstitutionFoodServiceSuffix
Waffle House,InstitutionFoodServiceSuffix
// general retail suffixes
Store,InstititutionRetailGeneralSuffix
News-Agent,InstititutionRetailGeneralSuffix
Corner Shop,InstititutionRetailGeneralSuffix
Convienience Store,InstititutionRetailGeneralSuffix
Supermarket,InstititutionRetailGeneralSuffix
Grocers,InstititutionRetailGeneralSuffix
Grocery Store,InstititutionRetailGeneralSuffix
General Store,InstititutionRetailGeneralSuffix
Groceries,InstititutionRetailGeneralSuffix
24,InstititutionRetailGeneralSuffix
24/7,InstititutionRetailGeneralSuffix
Express,InstititutionRetailGeneralSuffix
Local,InstititutionRetailGeneralSuffix
Food & Wine,InstititutionRetailGeneralSuffix
Frozens,InstititutionRetailGeneralSuffix
// specific retail suffixes
Tailors,InstitutionRetailSpecificSuffix
Cobblers,InstitutionRetailSpecificSuffix
Butchers,InstitutionRetailSpecificSuffix
Meats,InstitutionRetailSpecificSuffix
Bakers,InstitutionRetailSpecificSuffix
Bread,InstitutionRetailSpecificSuffix
Florists,InstitutionRetailSpecificSuffix
Pharmacy,InstitutionRetailSpecificSuffix
Medicine,InstitutionRetailSpecificSuffix
Building Supplies,InstitutionRetailSpecificSuffix
Hardware,InstitutionRetailSpecificSuffix
Computers,InstitutionRetailSpecificSuffix
Technology,InstitutionRetailSpecificSuffix
Car Hire,InstitutionRetailSpecificSuffix
Van Hire,InstitutionRetailSpecificSuffix
Barbers,InstitutionRetailSpecificSuffix
Salon,InstitutionRetailSpecificSuffix
Beauty,InstitutionRetailSpecificSuffix
Gym,InstitutionRetailSpecificSuffix
Fitness,InstitutionRetailSpecificSuffix
Shoes,InstitutionRetailSpecificSuffix
Boots,InstitutionRetailSpecificSuffix
Instruments,InstitutionRetailSpecificSuffix
Guitars,InstitutionRetailSpecificSuffix
Pianos,InstitutionRetailSpecificSuffix
Electronics,InstitutionRetailSpecificSuffix
Electronics Hut,InstitutionRetailSpecificSuffix
