// Mythical creatures
Angel, Creature, CreatureMagical, CreatureFamilyOther, CreatureSizeLarge, Holy, Era(Fantasy)
Deamon, Creature, CreatureMagical, CreatureFamilyOther, CreatureSizeLarge, Evil, Era(Fantasy)
Devil, Creature, CreatureMagical, CreatureFamilyOther, CreatureSizeLarge, Evil, Era(Fantasy)
Dragon, Creature, CreatureBeast, CreatureFamilyReptile, CreatureSizeGreat, Era(Fantasy)
Hydra, Creature, CreatureBeast, CreatureFamilyReptile, CreatureSizeGreat, Era(Fantasy)
Roc, Creature, CreatureBeast, CreatureFamilyBird, CreatureSizeGreat, Era(Fantasy)
Titan, Creature, CreatureBeast, CreatureFamilyMammal, CreatureSizeGreat, Era(Fantasy)
Collosus, Creature, CreatureBeast, CreatureFamilyMammal, CreatureSizeLarge, Era(Fantasy)
// Sentient creatures
Human, Creature, CreatureSentient, CreatureFamilyMammal, CreatureSizeNormal
Dwarf, Creature, CreatureSentient, CreatureFamilyMammal, CreatureSizeNormal
Elf, Creature, CreatureSentient, CreatureFamilyMammal, CreatureSizeNormal
Goblin, Creature, CreatureSentient, CreatureFamilyMammal, CreatureSizeNormal
Kobold, Creature, CreatureSentient, CreatureFamilyMammal, CreatureSizeSmall
Troll, Creature, CreatureSentient, CreatureFamilyMammal, CreatureSizeLarge
Gnome, Creature, CreatureSentient, CreatureFamilyMammal, CreatureSizeSmall
Orc, Creature, CreatureSentient, CreatureFamilyMammal, CreatureSizeNormal
// Fantasy
Glob, Creature, CreatureBeast, CreatureFamilyOther, CreatureSizeSmall, Era(Fantasy)
Blob, Creature, CreatureBeast, CreatureFamilyOther, CreatureSizeNormal, Era(Fantasy)
Golem, Creature, CreatureBeast, CreatureFamilyOther, CreatureSizeNormal, Era(Fantasy)
// ANIMALS
//  LAND
//      mamals
Bear, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Alpaca, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Bat, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Cat, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Dog, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Donkey, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Goat, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Horse, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Llama, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Mule, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Camel, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Pig, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Boar, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Rabbit, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Sheep, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Buffalo, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Yak, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Aardvark, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall, CreatureDietCarnivorous
Armadillo, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Badger, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Gibbon, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Capybara, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Cheetah, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Chimpanzee, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Chinchilla, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Coati, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall, CreatureDietCarnivorous
Coyote, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Deer, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Elephant, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Elk, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Fox, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall, CreatureDietCarnivorous
Gazelle, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Giraffe, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge,
Gorilla, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Squirrel, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Groundhog, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Hare, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Hyena, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Ibex, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Impala, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Jackal, , Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Jaguar, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Koala, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Leopard, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Lion, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Lynx, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Panda, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Giant Panda, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Porcupine, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Racoon, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Red Panda, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Reindeer, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Rhinoceros, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeLarge
Skunk, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Sloth, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Stoat, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Tapir, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Lynx, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Tiger, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, 
Warthog, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Weasel, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Lynx, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Wolf, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal, CreatureDietCarnivorous
Wolverine, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall, CreatureDietCarnivorous
Wombat, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Giant Wombat, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeNormal
Mole, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
Rat, Creature, CreatureAnimal, CreatureFamilyMammal, CreatureSizeSmall
//      birds
Peafowl, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Chicken, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Duck, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Goose, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Swan, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Turkey, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Barn Owl, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall, CreatureDietCarnivorous
Bluejay, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeTiny
Buzzard, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Eagle, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall, CreatureDietCarnivorous
Emu, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeNormal
Horned Owl, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall, CreatureDietCarnivorous
Gray Parrot, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Guineafowl, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Hornbill, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Kakapo, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Kea, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Kestrel, Creature, CreatureAnimal, CreatureFamilyBird, , CreatureDietCarnivorous
Kiwi, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeTiny
Osprey, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Ostrich, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeNormal
Peregrine Falcon, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall, CreatureDietCarnivorous
Raven, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Vulture, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
Stork, Creature, CreatureAnimal, CreatureFamilyBird, CreatureSizeSmall
//      reptiles
Adder, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall, CreatureDietCarnivorous
Alligator, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeNormal, CreatureDietCarnivorous
Anaconda, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeNormal, CreatureDietCarnivorous
Black Mamba, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall, CreatureDietCarnivorous
Bushmaster, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall, CreatureDietCarnivorous
Copperhead Snake, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall, CreatureDietCarnivorous
Desert Tortoise, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall
Giant Tortoise, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall
Gila Monster, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall, CreatureDietCarnivorous
King Cobra, Creature, CreatureAnimal, CreatureFamilyReptile, CreatureSizeSmall, CreatureDietCarnivorous
